IFCH,PD_PC_SBUS,NONE,SBUS,PD_ALU,PM_ADR,IFCH,PC_PLUS_2,IF_ACLOW,NONE,0,PWFAIL
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_CIL,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,CLASS_INDEX,0,B1
B1,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,MAS_INDEX,0,IM_S
B2,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,MAD_INDEX,0,IM_D
B3,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,BRANCH_INDEX,0,BR
B4,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,DIVERSE_INDEX,0,CLC
IM_S,PD_PC_SBUS,NONE,SBUS,PD_ALU,PM_ADR,READ_VAL,PC_PLUS_2,NONE,NONE,0,NONE
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_T,NONE,NONE,JUMP,MAD_INDEX,0,IM_D
RD_S,PD_GPR_S_SBUS,NONE,SBUS,PD_ALU,PM_T,NONE,NONE,JUMP,MAD_INDEX,0,IM_D
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
RI_S,PD_GPR_S_SBUS,NONE,SBUS,PD_ALU,PM_ADR,READ,NONE,NONE,NONE,0,NONE
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_T,NONE,NONE,JUMP,MAD_INDEX,0,IM_D
RX_S,PD_PC_SBUS,NONE,SBUS,PD_ALU,PM_ADR,READ_VAL,PC_PLUS_2,NONE,NONE,0,NONE
,PD_MDR_SBUS,PD_GPR_S_DBUS,SUM,PD_ALU,PM_ADR,READ,NONE,NONE,NONE,0,NONE
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_T,NONE,NONE,JUMP,MAD_INDEX,0,IM_D
IM_D,PD_PC_SBUS,NONE,SBUS,PD_ALU,PM_ADR,READ_VAL,PC_PLUS_2,IF_B1,DOUBLE_OP_INDEX,0,MOV
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,SINGLE_OP_INDEX,0,CLR
RD_D,PD_GPR_D_SBUS,NONE,SBUS,PD_ALU,PM_MDR,NONE,NONE,IF_B1,DOUBLE_OP_INDEX,0,MOV
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,SINGLE_OP_INDEX,0,CLR
RI_D,PD_GPR_D_SBUS,NONE,SBUS,PD_ALU,PM_ADR,READ,NONE,IF_B1,DOUBLE_OP_INDEX,0,MOV
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,SINGLE_OP_INDEX,0,CLR
RX_D,PD_PC_SBUS,NONE,SBUS,PD_ALU,PM_ADR,READ_VAL,PC_PLUS_2,NONE,NONE,0,NONE
,PD_MDR_SBUS,PD_GPR_D_DBUS,SUM,PD_ALU,PM_ADR,READ,NONE,IF_B1,DOUBLE_OP_INDEX,0,MOV
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,SINGLE_OP_INDEX,0,CLR
